,City,Id,country,lat,lng,Cloudiness,humidity,temperature,wind_speed
353,Clyde River,5924351,CA,70.4692,-68.5914,83,62,30.06,3.06
354,Äänekoski,662096,FI,62.6,25.7333,100,91,42.31,5.26
355,Gberia Fotombu,2409019,SL,9.8833,-11.1667,91,94,70.61,1.14
356,Atar,2381334,MR,20.5169,-13.0499,80,41,87.76,18.77
357,Zenzeli,463655,RU,45.9241,47.0474,14,72,59.2,9.89
358,Humberto de Campos,3398428,BR,-2.5983,-43.4611,71,80,78.21,7.11
359,Qinnan,1797575,CN,33.2531,119.9133,100,97,73.09,9.51
360,Te Anau,2181625,NZ,-45.4167,167.7167,79,96,43.02,7.25
361,Tekāri,1254797,IN,24.9333,84.8333,16,87,78.67,5.41
362,Sompeta,1255816,IN,18.9333,84.6,100,82,79.56,3.2
363,Ile-Ife,2338900,NG,7.4667,4.5667,58,99,76.1,2.01
364,Laguna,5364271,US,38.421,-121.4238,1,34,79.97,5.99
365,Sarangani,1687186,PH,5.4033,125.4636,100,84,78.24,15.08
366,San Policarpo,1688696,PH,12.1791,125.5072,97,80,81.36,2.73
367,Mackenzie,6063191,CA,55.2999,-123.1698,90,76,52.02,10.36
368,Bayan,2038421,CN,46.0833,127.4,100,86,47.68,8.72
369,Elko,5703673,US,41.0002,-115.5012,85,27,61.7,23
370,Lerwick,2644605,GB,60.1545,-1.1494,100,93,51.8,9.13
371,Samarai,2132606,PG,-10.6167,150.6667,99,88,78.84,15.35
372,Clarence Town,2171465,AU,-32.5833,151.7833,0,36,62.74,5.95
373,Nur-Sultan,1526273,KZ,51.1801,71.446,75,65,39.15,13.42
374,Viedma,3832899,AR,-40.8135,-62.9967,67,94,49.24,9.57
375,Villa San Giovanni,2522730,IT,38.2276,15.6386,0,76,78.53,3
376,Olafsvik,3414079,IS,64.8945,-23.7142,100,90,48.38,21.65
377,Jining,1805518,CN,35.405,116.5814,100,94,61.29,14.14
378,Caniço,2270258,PT,32.6333,-16.85,40,79,73.02,1.01
379,Vallenar,3868633,CL,-28.5708,-70.7581,0,48,63.05,4.25
380,Itarema,3393692,BR,-2.9248,-39.9167,97,77,78.53,16.71
381,Caucaia,3402429,BR,-3.7361,-38.6531,0,70,80.04,10.36
382,Baní,3512067,DO,18.2833,-70.3333,22,77,80.85,9.01
383,Ilebo,215976,CD,-4.3167,20.5833,92,86,69.6,0.78
384,Smiltene,455406,LV,57.4244,25.9016,95,73,38.55,10.36
385,Weligama,1223738,LK,5.9667,80.4167,41,88,78.08,6.29
386,Tarko-Sale,1490085,RU,64.9225,77.785,60,91,34.77,8.5
387,Norrtälje,2688250,SE,59.758,18.705,93,68,48.09,7.27
388,Aykhal,2027296,RU,66,111.5,95,81,28.99,6.11
389,Tautira,4033557,PF,-17.7333,-149.15,68,74,82.42,17.65
390,Zyryanskoye,1484892,RU,56.8306,86.6258,83,94,37.99,6.85
391,Kenora,5991056,CA,49.8167,-94.4337,75,61,77.97,19.57
392,Edd,338345,ER,13.9297,41.6925,100,61,89.24,8.79
393,Otane,2185329,NZ,-39.8833,176.6333,31,49,56.39,11.86
394,Barra de Tecoanapa,3516171,MX,16.5167,-98.75,58,70,84.45,5.41
395,Vila do Maio,3374120,CV,15.1333,-23.2167,82,87,79.59,10.83
396,Puerto Barrios,3591062,GT,15.7167,-88.6,75,74,86.14,6.91
397,Suez,359796,EG,29.9737,32.5263,0,67,73.8,11.3
398,Honningsvåg,779554,NO,70.9821,25.9704,82,77,38.73,24.23
399,Praia da Vitória,3372760,PT,38.7333,-27.0667,75,83,70.05,10.56
400,Hamilton,4513583,US,39.1834,-84.5333,1,58,81.75,1.01
401,Sungai Penuh,1625929,ID,-2.0833,101.3833,94,94,62.83,1.36
402,Esperance,2071860,AU,-33.8667,121.9,63,65,51.64,10.51
403,Olinda,3393536,BR,-8.0089,-34.8553,40,69,76.73,8.05
404,Basco,1726449,PH,20.4487,121.9702,96,77,84.16,10.89
405,São Filipe,3374210,CV,14.8961,-24.4956,97,80,80.06,11.18
406,Rodolfo Sánchez Taboada,3996737,MX,31.7167,-116.5667,3,71,72.1,3
407,Malangali,155052,TZ,-8.5667,34.85,6,85,60.84,12.08
408,Amurzet,2027740,RU,47.6967,131.0981,64,71,48.67,5.41
409,Sabha,2212775,LY,27.0377,14.4283,0,22,83.16,9.42
410,Āreka,343593,ET,7.0667,37.7,97,86,62.24,1.03
411,Flinders,6255012,AU,-34.5833,150.8552,0,33,70.27,7.7
412,Balabac,1728675,PH,7.9868,117.0645,83,80,80.76,3.94
413,Gmina Szubin,3083611,PL,53.0097,17.74,90,76,51.71,4.61
414,Mana,3381041,GF,5.6592,-53.7767,59,82,79.79,9.84
415,Belmonte,3470137,BR,-15.8631,-38.8828,27,81,75.7,7.63
416,Merauke,2082539,ID,-8.4667,140.3333,99,82,78.76,13.44
417,Boende,218680,CD,-0.2167,20.8667,87,99,67.06,0.54
418,La Providencia,3991622,MX,28.7167,-111.5833,0,34,100.24,11.99
419,Wynyard,2142747,AU,-41,145.7167,78,80,46.44,16.06
420,Emerald,2167426,AU,-23.5333,148.1667,0,64,68.14,3.44
421,Zhangye,1785036,CN,38.9342,100.4517,0,38,60.12,7.11
422,Mardin,304797,TR,37.3131,40.7436,0,29,70.54,7.36
423,Shenjiamen,1795632,CN,29.9576,122.298,20,92,78.06,21.09
424,Kayerkan,1497337,RU,69.3497,87.7602,100,93,31.41,17.83
425,Pokhara,1282898,NP,28.2333,83.9833,53,88,69.28,4.09
426,Dingle,1714733,PH,10.9995,122.6711,100,87,77.07,2.04
427,Mozarlândia,3456642,BR,-14.7447,-50.5706,10,15,88.14,3.42
428,Bambanglipuro,1650434,ID,-7.95,110.2833,61,88,75.22,7.29
429,Orlik,1496073,RU,52.5178,99.825,89,65,44.46,3.18
430,Champerico,3598787,GT,14.3,-91.9167,88,76,85.84,5.08
431,Aranos,3358666,NA,-24.1333,19.1167,0,17,60.78,10.2
432,Valdez,3650312,EC,1.2492,-78.9831,37,87,77.58,10.98
433,Kysyl-Syr,2021017,RU,63.8986,122.7617,85,86,30.4,6.85
434,Safaga,358620,EG,26.7292,33.9365,0,45,84.15,8.84
435,Penzance,2640377,GB,50.1186,-5.5371,11,82,54.91,13.76
436,Muroto-misakicho,1856392,JP,33.2833,134.15,62,73,73.44,10.71
437,Vostok,2013279,RU,46.4856,135.8833,18,62,47.43,2.33
438,Rivadavia,3838759,AR,-33.1905,-68.4608,1,33,68.47,18.39
439,Tupelo,4448903,US,34.2576,-88.7034,75,65,84.02,9.22
440,Graham,5795906,US,47.0529,-122.2943,75,88,59.04,4.61
441,Burns Lake,5911745,CA,54.2331,-125.7533,100,60,49.42,9.33
442,Jeremoabo,3459922,BR,-10.075,-38.4808,83,73,71.89,11.18
443,Bahía Blanca,3865086,AR,-38.7196,-62.2724,100,98,54.97,7.4
444,Nabire,1634614,ID,-3.3667,135.4833,100,89,75.87,2.64
445,Aklavik,5882953,CA,68.2191,-135.0107,17,45,45.43,2.55
446,Thompson,6165406,CA,55.7435,-97.8558,75,77,57.36,16.11
447,Mildura,2157698,AU,-34.2,142.15,75,82,51.76,10.36
448,Hvolsvollur,3415720,IS,63.7533,-20.2243,86,92,46.81,13.76
449,Kyren,2021031,RU,51.6828,102.1408,13,77,50.77,2.89
450,Jamame,56399,SO,0.0722,42.7506,5,80,75.7,14.36
451,Znamenskoye,1485020,RU,57.1281,73.8282,100,98,34.48,8.84
452,San Quintín,3984997,MX,30.4833,-115.95,0,66,71.89,16.51
453,Naryan-Mar,523392,RU,67.6713,53.087,100,77,38.05,10.02
454,Makīnsk,1521230,KZ,52.6292,70.4169,48,68,34.95,14.38
455,Lazurne,703317,UA,46.084,32.5295,59,69,60.01,14.18
456,Curicó,3892870,CL,-34.9833,-71.2333,20,47,59.11,6.91
457,Ust'-Kut,2013923,RU,56.7938,105.7672,66,94,46.65,2.26
458,Mthatha,946058,ZA,-31.5889,28.7844,24,88,57.76,2.3
459,Hengyang,1808370,CN,26.8881,112.615,64,90,72.01,4.36
460,Chokurdakh,2126123,RU,70.6333,147.9167,95,70,28.26,9.48
461,Merişani,673553,RO,44.9667,24.7333,0,67,55.8,5.46
