,City,Id,country,lat,lng,Cloudiness,humidity,temperature,wind_speed
67,Lüderitz,3355672,NA,-26.6481,15.1594,0,86,54.1,9.82
68,Tateyama,1850523,JP,34.9833,139.8667,84,73,69.82,14.79
69,Mitú,3674676,CO,1.1983,-70.1733,100,78,78.93,1.34
70,Barrow,5880054,US,71.2906,-156.7887,90,80,32.02,18.41
71,Tiksi,2015306,RU,71.6872,128.8694,100,74,34.48,19.51
72,Butaritari,2110227,KI,3.0707,172.7902,65,69,83.05,14.65
73,Vestmannaeyjar,3412093,IS,63.4427,-20.2734,100,94,50.11,35.19
74,Salalah,286621,OM,17.0151,54.0924,75,89,80.69,5.75
75,Cartagena del Chairá,3792382,CO,1.3349,-74.8429,84,83,77.11,1.77
76,Ures,3980782,MX,29.4333,-110.4,0,40,98.22,8.84
77,Djibouti,223816,DJ,11.5,42.5,49,32,89.02,9.69
78,Adrar,2381972,MR,20.5022,-10.0711,3,26,90.52,24.32
79,Alofi,4036284,NU,-19.0595,-169.9187,0,88,73.29,4.61
80,Kochki,1503061,RU,54.3358,80.4806,62,83,36.39,13.51
81,Mahébourg,934322,MU,-20.4081,57.7,40,56,70.09,6.91
82,Nanortalik,3421765,GL,60.1432,-45.2371,46,89,37.22,8.77
83,Talara,3691582,PE,-4.5772,-81.2719,38,84,64.74,18.72
84,Ponta Delgada,3372783,PT,37.7333,-25.6667,20,64,68.72,3.44
85,Cape Town,3369157,ZA,-33.9258,18.4232,75,90,55.99,10.36
86,Port Hardy,6111862,CA,50.6996,-127.4199,75,88,57.38,3.44
87,Korla,1529376,CN,41.7597,86.1469,0,24,72.12,3.62
88,Santoña,3109527,ES,43.4439,-3.4576,64,83,61.86,10.49
89,Nouadhibou,2377457,MR,20.931,-17.0347,0,83,78.78,10.36
90,Saint Anthony,5044290,US,45.0205,-93.218,1,45,87.06,5.99
91,Lompoc,5367788,US,34.6391,-120.4579,1,67,73.83,21.85
92,Yeppoon,2142316,AU,-23.1333,150.7333,5,62,67.78,9.28
93,Inuvik,5983607,CA,68.3499,-133.7218,40,45,45.41,4.61
94,New Norfolk,2155415,AU,-42.7826,147.0587,83,86,43.79,1.01
95,Cidreira,3466165,BR,-30.1811,-50.2056,91,97,66.6,17.9
96,Hamina,659169,FI,60.5697,27.1979,8,77,43.88,15.1
97,Altoona,5178195,US,40.5187,-78.3947,6,69,71.87,3.13
98,Slave Lake,6149374,CA,55.2834,-114.769,90,76,49.98,14.97
99,Malakal,370737,SS,9.5334,31.6605,77,88,72.61,1.66
100,Bredasdorp,1015776,ZA,-34.5322,20.0403,0,82,52.92,3.44
101,Hofn,2630299,IS,64.2539,-15.2082,83,84,50.43,13.15
102,Pekan,1734971,MY,3.4836,103.3996,100,92,77.11,7.7
103,Shelburne,6145890,CA,44.0787,-80.2041,0,55,66.96,6.85
104,Quatre Cocos,1106643,MU,-20.2078,57.7625,86,62,64.09,10.96
105,Berdychiv,712441,UA,49.8993,28.6024,100,92,42.24,11.9
106,Severo-Kuril'sk,2121385,RU,50.6789,156.125,99,87,50.59,16.64
107,Bluff,2206939,NZ,-46.6,168.3333,82,69,55.8,16.89
108,Klaksvík,2618795,FO,62.2266,-6.589,38,87,52.72,11.74
109,Busselton,2075265,AU,-33.65,115.3333,0,79,42.04,10.94
110,Margate,2643044,GB,51.3813,1.3862,100,92,61.57,8.12
111,Cayenne,3382160,GF,4.9333,-52.3333,0,78,84.09,3
112,Carnarvon,2074865,AU,-24.8667,113.6333,0,54,57.27,10.36
113,Grand Gaube,934479,MU,-20.0064,57.6608,86,66,64.38,3
114,Montrose,5431716,US,38.4166,-108.2673,2,28,64.67,25.43
115,Port Augusta,2063056,AU,-32.5,137.7667,95,46,52.7,19.91
116,Kapaa,5848280,US,22.0752,-159.319,75,76,79.45,3
117,Meulaboh,1214488,ID,4.1363,96.1285,100,92,73.47,9.71
118,Alice Springs,2077895,AU,-23.7,133.8833,75,63,63.95,5.75
119,Faanui,4034551,PF,-16.4833,-151.75,79,75,77.94,18.19
120,Finnsnes,3157549,NO,69.2296,17.9811,77,82,35.31,5.17
121,Isangel,2136825,VU,-19.55,169.2667,75,69,75.31,5.75
122,Iqaluit,5983720,CA,63.7506,-68.5145,40,75,35.33,13.8
123,Nikolskoye,546105,RU,59.7035,30.7861,100,77,40.89,8.99
124,Egvekinot,4031742,RU,66.3167,-179.1667,0,55,26.92,2.26
125,Nha Trang,1572151,VN,12.25,109.1833,98,89,75.2,4.47
126,Rio Pardo,3451102,BR,-29.9897,-52.3781,100,97,67.68,5.7
127,Ola,2122574,RU,59.5833,151.2833,100,79,48.38,9.01
128,Mitsamiouli,921786,KM,-11.3847,43.2844,0,72,76.15,7.7
129,Talnakh,1490256,RU,69.4865,88.3972,100,90,35.1,6.85
130,Hobart,2163355,AU,-42.8794,147.3294,40,76,47.5,1.99
131,Arraial do Cabo,3471451,BR,-22.9661,-42.0278,75,88,73.26,4.61
132,Gashua,2341656,NG,12.871,11.0482,37,57,82.58,9.4
133,Santa Cruz de la Sierra,3904906,BO,-17.8,-63.1667,31,51,87.85,13.8
134,Zavodouspenskoye,1485354,RU,56.8626,65.0155,100,89,39.42,12.68
135,Qaanaaq,3831208,GL,77.484,-69.3632,88,88,13.3,7.43
136,Locri,2524371,IT,38.2414,16.2623,0,74,78.28,13.51
137,Swift Current,6160603,CA,50.2834,-107.8014,75,36,63.41,16.11
138,Saint-Louis,2246451,SN,16.3333,-15,58,36,82.04,5.28
139,Beloha,1067565,MG,-25.1667,45.05,3,68,60.03,9.33
140,Bandarbeyla,64814,SO,9.4942,50.8122,88,77,78.6,21.65
141,Lamu,189741,KE,-2.2717,40.902,16,81,77.22,17.65
142,Birao,240210,CF,10.2849,22.7882,100,90,72.75,1.79
143,Cap Malheureux,934649,MU,-19.9842,57.6142,91,66,64.47,3
144,Christchurch,2192362,NZ,-43.5333,172.6333,53,62,57.4,2.3
145,Arlit,2447513,NE,18.7369,7.3853,38,12,93.11,5.97
146,Mount Gambier,2156643,AU,-37.8333,140.7667,75,81,46.31,20.71
147,Port Keats,2063039,AU,-14.25,129.55,20,73,80.01,5.39
148,Fortuna,5563839,US,40.5982,-124.1573,20,62,66.9,8.99
149,Hambantota,1244926,LK,6.1241,81.1185,41,86,79.43,11.92
150,Hawera,2206359,NZ,-39.5917,174.2833,71,71,56.46,16.02
151,East London,1006984,ZA,-33.0153,27.9116,13,82,61.2,9.82
152,Nome,5870133,US,64.5011,-165.4064,40,48,39.27,8.05
153,Gamba,2400547,GA,-2.65,10,72,81,74.44,4.94
154,Kuching,1735634,MY,1.55,110.3333,40,94,75.42,0
155,Namatanai,2090021,PG,-3.6667,152.4333,76,68,83.23,3.71
156,Katsuura,2112309,JP,35.1333,140.3,86,69,69.91,16.64
157,Yamada,2110560,JP,39.4667,141.95,89,62,68.56,2.42
158,Hualmay,3939761,PE,-11.0964,-77.6139,18,77,61.79,11.92
159,Nieuw Amsterdam,3383434,SR,5.8833,-55.0833,75,88,77.02,11.5
160,Portmore,3488981,JM,17.9702,-76.8672,20,83,82.74,9.22
161,Pangnirtung,6096551,CA,66.1451,-65.7125,93,78,32.5,10.33
162,Vanimo,2084442,PG,-2.6741,141.3028,100,77,80.71,4.59
163,Cabo San Lucas,3985710,MX,22.8909,-109.9124,20,66,88.88,10.36
164,Kristiansand,3149318,NO,58.1467,7.9956,90,68,49.28,9.22
165,Chicama,3698359,PE,-7.8447,-79.1469,27,75,61.34,8.75
166,Shimoda,1852357,JP,34.6667,138.95,2,61,73.6,15.82
167,Sisimiut,3419842,GL,66.9395,-53.6735,100,60,33.08,9.62
168,Noshiro,2128867,JP,40.2039,140.0242,60,61,59.94,1.72
169,Mogadishu,53654,SO,2.0371,45.3438,7,84,77.18,18.01
170,Petropavlovsk-Kamchatskiy,2122104,RU,53.0452,158.6483,90,100,48.79,6.71
171,Balkanabat,161616,TM,39.5108,54.3671,0,21,75.99,14.67
172,Karratha,6620339,AU,-20.7377,116.8463,1,23,75.56,13.71
173,Cherskiy,2126199,RU,68.75,161.3,53,57,30.92,7.27
174,Dandong,2037886,CN,40.1292,124.3947,100,91,62.64,7.31
175,Bay City,4985180,US,43.5945,-83.8889,1,64,75.42,5.75
176,Chizhou,1814934,CN,30.6578,117.4831,100,94,68.45,5.46
177,Kushnarenkovo,538368,RU,55.105,55.3508,48,80,34.18,5.14
178,Pisco,3932145,PE,-13.7,-76.2167,0,77,62.65,21.85
179,Saint Paul Harbor,5866583,US,57.79,-152.4072,20,76,51.31,5.75
180,Santa Cruz de La Palma,2511180,ES,28.6835,-17.7642,40,64,73.54,9.22
181,Diffa,2445704,NE,13.3154,12.6113,5,32,85.64,5.44
182,Ilulissat,3423146,GL,69.2167,-51.1,100,58,23.02,6.91
183,Hong Kong,1819729,HK,22.2855,114.1577,18,86,84.18,5.55
184,Vila,7117100,PT,42.0304,-8.1588,41,85,52.68,4.94
185,Brčko,3203521,BA,44.8728,18.8083,84,80,61.5,5.91
186,Grande Prairie,5964347,CA,55.1667,-118.8027,75,54,55.58,20.71
187,Menomonie,5262634,US,44.8755,-91.9193,15,47,84.06,14.97
188,Narsaq,3421719,GL,60.9167,-46.05,70,85,43.02,3
189,Torbat-e Jām,1159362,IR,35.244,60.6225,0,35,66.06,10.92
190,Port Elizabeth,964420,ZA,-33.918,25.5701,0,82,57.49,10.36
191,Kalengwa,915285,ZM,-13.4659,25.0027,52,37,66.15,5.35
192,Anapskaya,582181,RU,44.89,37.38,40,77,68.23,11.18
193,Río Gallegos,3838859,AR,-51.6226,-69.2181,75,43,51.85,13.8
194,Spring Hill,4173838,US,28.4769,-82.5255,75,74,81.3,1.01
195,Tarakan,1624725,ID,3.3,117.6333,40,89,78.3,5.75
196,Yellowknife,6185377,CA,62.456,-114.3525,75,62,50.52,4.61
197,Koróni,259265,GR,36.8,21.95,0,67,67.71,5.17
198,Lebu,3883457,CL,-37.6167,-73.65,1,75,50,16.93
199,Kuril'sk,2123979,RU,45.2333,147.8833,49,68,55.92,8.72
200,Cabedelo,3404558,BR,-6.9811,-34.8339,67,72,77.67,15.64
201,Muli,1337617,MV,2.9167,73.5667,89,76,82.09,7.16
202,Ixtapa,4004293,MX,20.7,-105.2,90,83,81.63,10.36
203,Safford,5312476,US,32.834,-109.7076,1,26,97.66,13.8
204,Dongsheng,1812256,CN,39.8161,109.9776,96,71,55.11,5.3
205,Arti,580783,RU,56.4234,58.5328,94,81,33.53,8.93
206,Yar-Sale,1486321,RU,66.8333,70.8333,60,87,30.02,21.34
207,Tasiilaq,3424607,GL,65.6145,-37.6368,85,74,35.76,1.3
208,Udachny,2014624,RU,66.4167,112.4,100,77,29.35,6.06
209,Kutum,371745,SD,14.2,24.6667,44,39,78.84,7.11
210,Beringovskiy,2126710,RU,63.05,179.3167,100,77,37.87,6.2
211,Taoudenni,2450173,ML,22.6783,-3.9836,0,10,98.35,4.83
212,Codrington,2171099,AU,-38.2667,141.9667,53,78,48.69,21.45
213,Dakar,2253354,SN,14.6937,-17.4441,0,83,80.73,0
214,Half Moon Bay,5354943,US,37.4636,-122.4286,20,69,71.11,1.01
215,Lagoa,3372964,PT,39.05,-27.9833,62,63,68.65,11.97
216,Agirish,1512101,RU,61.9247,63.0231,100,97,34.27,10.56
217,Nyahururu,183027,KE,0.0421,36.3673,90,83,55.47,0.67
218,Carutapera,3402648,BR,-1.195,-46.02,84,80,78.48,7.81
219,Saint-Pierre,935214,RE,-21.3393,55.4781,0,65,63.25,9.22
220,Saldanha,3361934,ZA,-33.0117,17.9442,88,80,57.25,8.59
221,Polson,5671996,US,47.6936,-114.1632,93,49,55.36,11.9
222,San Patricio,4726521,US,28.017,-97.5169,1,40,89.91,8.97
223,Palmer,4946620,US,42.1584,-72.3287,9,65,64.09,2.59
224,Antalaha,1071296,MG,-14.9003,50.2788,100,85,69.91,10.83
225,Lorengau,2092164,PG,-2.0226,147.2712,88,69,84.56,8.41
226,Odienné,2283016,CI,9.51,-7.5692,82,92,72.01,3.98
227,Sayyan,70979,YE,15.1718,44.3244,41,38,64.04,1.77
228,Port Alfred,964432,ZA,-33.5906,26.891,71,83,60.8,10.67
229,Antofagasta,3899539,CL,-23.65,-70.4,41,82,58.28,9.48
230,Pirapora,3453546,BR,-17.345,-44.9419,48,23,86.56,3.53
231,Chapais,5919850,CA,49.7834,-74.8492,57,62,58.78,5.75
232,Ponta do Sol,2264557,PT,32.6667,-17.1,94,69,72.27,5.79
233,Tshane,933726,BW,-24.0196,21.8684,56,34,72.9,12.48
234,Atambua,1651103,ID,-9.1061,124.8925,22,64,75.38,4.27
235,Valdemārpils,454584,LV,57.3707,22.5919,8,75,40.42,11.07
236,Villa Carlos Paz,3832791,AR,-31.4241,-64.4978,63,65,70.9,8.01
237,Le Vauclin,3570392,MQ,14.5452,-60.8388,0,65,84.25,8.05
238,Hasaki,2112802,JP,35.7333,140.8333,53,66,66.6,16.75
239,Saint-Paul,935221,RE,-21.0096,55.2707,17,63,61.14,6.96
240,Sistranda,3139597,NO,63.7256,8.834,100,78,51.76,4.34
241,Quelimane,1028434,MZ,-17.8786,36.8883,0,88,62.55,1.14
242,Pangody,1495626,RU,65.85,74.4859,100,96,36.09,16.91
243,Seoul,1835848,KR,37.5683,126.9778,0,72,67.89,8.05
244,Phan Thiet,1571058,VN,10.9333,108.1,95,90,76.06,1.57
245,Santa Maria,3450083,BR,-29.6842,-53.8069,40,94,69.1,10.36
246,Presidencia Roque Sáenz Peña,3840300,AR,-26.7852,-60.4388,98,25,89.94,7.02
247,Ust-Tsilma,477940,RU,65.441,52.1498,100,75,38.19,7.07
248,College,5859699,US,64.8569,-147.8028,75,64,45.54,5.75
249,Constitución,3893726,CL,-35.3333,-72.4167,2,81,50.54,14.2
250,Requena,2511930,ES,39.4883,-1.1004,24,73,59,4.12
251,Tuatapere,2180815,NZ,-46.1333,167.6833,49,72,55.81,10.13
252,Yakovlevka,2013176,RU,44.425,133.4772,99,78,53.67,1.7
253,Lavrentiya,4031637,RU,65.5833,-171,9,59,32.63,11.65
254,Saint George,5546220,US,37.1041,-113.5841,1,14,92.44,1.99
255,Kaitangata,2208248,NZ,-46.2817,169.8464,55,62,53.24,4.7
256,Preobrazheniye,2017658,RU,42.9019,133.9064,95,74,64.47,10.67
257,Paita,3694112,PE,-5.0892,-81.1144,24,81,65.16,19.06
258,Taiping,1734586,MY,4.85,100.7333,100,98,75.4,5.82
259,Sovetskiy,1491230,RU,61.3614,63.5842,100,96,35.24,11.79
260,Kashary,552006,RU,49.04,41.0056,100,93,60.42,16.24
261,Opunake,2206357,NZ,-39.4556,173.8583,75,76,57.34,16.78
262,Khasan,2039557,RU,42.4308,130.6434,100,70,63,6.11
263,Castro,3466704,BR,-24.7911,-50.0119,51,95,64.31,4.27
264,Ilhabela,3461425,BR,-23.7781,-45.3581,58,93,71.28,6.22
265,Kavieng,2094342,PG,-2.5744,150.7967,54,70,83.53,8.72
266,Aswān,359792,EG,24.0934,32.907,0,21,85.3,5.75
267,Fare,4034496,PF,-16.7,-151.0167,38,70,78.69,18.9
268,Verkhovazh'ye,474354,RU,60.7472,42.0465,100,68,38.43,4.74
